OA21CD,RUC21CD,RUC21NM,Urban_rural_flag,ObjectId
E00000124,UN1,Urban: Nearer to a major town or city,Urban,1
E00000125,UN1,Urban: Nearer to a major town or city,Urban,2
E00000128,UN1,Urban: Nearer to a major town or city,Urban,3
E00000129,UN1,Urban: Nearer to a major town or city,Urban,4
E00000130,UN1,Urban: Nearer to a major town or city,Urban,5
E00000131,UN1,Urban: Nearer to a major town or city,Urban,6
E00000132,UN1,Urban: Nearer to a major town or city,Urban,7
E00000133,UN1,Urban: Nearer to a major town or city,Urban,8
E00000134,UN1,Urban: Nearer to a major town or city,Urban,9
E00000135,UN1,Urban: Nearer to a major town or city,Urban,10
E00000136,UN1,Urban: Nearer to a major town or city,Urban,11
E00000137,UN1,Urban: Nearer to a major town or city,Urban,12
E00000138,UN1,Urban: Nearer to a major town or city,Urban,13
E00000139,UN1,Urban: Nearer to a major town or city,Urban,14
E00000140,UN1,Urban: Nearer to a major town or city,Urban,15
E00000141,UN1,Urban: Nearer to a major town or city,Urban,16
E00000142,UN1,Urban: Nearer to a major town or city,Urban,17
E00000143,UN1,Urban: Nearer to a major town or city,Urban,18
E00000144,UN1,Urban: Nearer to a major town or city,Urban,19
E00000145,UN1,Urban: Nearer to a major town or city,Urban,20
E00000146,UN1,Urban: Nearer to a major town or city,Urban,21
E00000147,UN1,Urban: Nearer to a major town or city,Urban,22
E00000148,UN1,Urban: Nearer to a major town or city,Urban,23
E00000149,UN1,Urban: Nearer to a major town or city,Urban,24
E00000150,UN1,Urban: Nearer to a major town or city,Urban,25
E00000151,UN1,Urban: Nearer to a major town or city,Urban,26
E00000152,UN1,Urban: Nearer to a major town or city,Urban,27
E00000153,UN1,Urban: Nearer to a major town or city,Urban,28
E00000154,UN1,Urban: Nearer to a major town or city,Urban,29
E00000155,UN1,Urban: Nearer to a major town or city,Urban,30
E00000156,UN1,Urban: Nearer to a major town or city,Urban,31
E00000157,UN1,Urban: Nearer to a major town or city,Urban,32
E00000158,UN1,Urban: Nearer to a major town or city,Urban,33
E00000159,UN1,Urban: Nearer to a major town or city,Urban,34
E00000160,UN1,Urban: Nearer to a major town or city,Urban,35
E00000161,UN1,Urban: Nearer to a major town or city,Urban,36
E00000162,UN1,Urban: Nearer to a major town or city,Urban,37
E00000163,UN1,Urban: Nearer to a major town or city,Urban,38
E00000164,UN1,Urban: Nearer to a major town or city,Urban,39
E00000165,UN1,Urban: Nearer to a major town or city,Urban,40
E00000166,UN1,Urban: Nearer to a major town or city,Urban,41
E00000167,UN1,Urban: Nearer to a major town or city,Urban,42
E00000168,UN1,Urban: Nearer to a major town or city,Urban,43
E00000169,UN1,Urban: Nearer to a major town or city,Urban,44
E00000170,UN1,Urban: Nearer to a major town or city,Urban,45
E00000171,UN1,Urban: Nearer to a major town or city,Urban,46
E00000172,UN1,Urban: Nearer to a major town or city,Urban,47
E00000173,UN1,Urban: Nearer to a major town or city,Urban,48
E00000174,UN1,Urban: Nearer to a major town or city,Urban,49
E00000175,UN1,Urban: Nearer to a major town or city,Urban,50
E00000337,UN1,Urban: Nearer to a major town or city,Urban,51
E00000338,UN1,Urban: Nearer to a major town or city,Urban,52
E00000340,UN1,Urban: Nearer to a major town or city,Urban,53
E00000341,UN1,Urban: Nearer to a major town or city,Urban,54
E00000342,UN1,Urban: Nearer to a major town or city,Urban,55
E00000343,UN1,Urban: Nearer to a major town or city,Urban,56
E00000344,UN1,Urban: Nearer to a major town or city,Urban,57
E00000345,UN1,Urban: Nearer to a major town or city,Urban,58
E00000346,UN1,Urban: Nearer to a major town or city,Urban,59
E00000347,UN1,Urban: Nearer to a major town or city,Urban,60
E00000348,UN1,Urban: Nearer to a major town or city,Urban,61
E00000349,UN1,Urban: Nearer to a major town or city,Urban,62
E00000350,UN1,Urban: Nearer to a major town or city,Urban,63
E00000351,UN1,Urban: Nearer to a major town or city,Urban,64
E00000353,UN1,Urban: Nearer to a major town or city,Urban,65
E00000354,UN1,Urban: Nearer to a major town or city,Urban,66
E00000355,UN1,Urban: Nearer to a major town or city,Urban,67
E00000356,UN1,Urban: Nearer to a major town or city,Urban,68
E00000357,UN1,Urban: Nearer to a major town or city,Urban,69
E00000358,UN1,Urban: Nearer to a major town or city,Urban,70
E00000360,UN1,Urban: Nearer to a major town or city,Urban,71
E00000361,UN1,Urban: Nearer to a major town or city,Urban,72
E00000362,UN1,Urban: Nearer to a major town or city,Urban,73
E00000363,UN1,Urban: Nearer to a major town or city,Urban,74
E00000364,UN1,Urban: Nearer to a major town or city,Urban,75
E00000365,UN1,Urban: Nearer to a major town or city,Urban,76
E00000366,UN1,Urban: Nearer to a major town or city,Urban,77
E00000367,UN1,Urban: Nearer to a major town or city,Urban,78
E00000368,UN1,Urban: Nearer to a major town or city,Urban,79
E00000369,UN1,Urban: Nearer to a major town or city,Urban,80
E00000370,UN1,Urban: Nearer to a major town or city,Urban,81
E00000371,UN1,Urban: Nearer to a major town or city,Urban,82
E00000372,UN1,Urban: Nearer to a major town or city,Urban,83
E00000373,UN1,Urban: Nearer to a major town or city,Urban,84
E00000374,UN1,Urban: Nearer to a major town or city,Urban,85
E00000375,UN1,Urban: Nearer to a major town or city,Urban,86
E00000376,UN1,Urban: Nearer to a major town or city,Urban,87
E00000377,UN1,Urban: Nearer to a major town or city,Urban,88
E00000378,UN1,Urban: Nearer to a major town or city,Urban,89
E00000379,UN1,Urban: Nearer to a major town or city,Urban,90
E00000380,UN1,Urban: Nearer to a major town or city,Urban,91
E00000381,UN1,Urban: Nearer to a major town or city,Urban,92
E00000382,UN1,Urban: Nearer to a major town or city,Urban,93
E00000383,UN1,Urban: Nearer to a major town or city,Urban,94
E00000384,UN1,Urban: Nearer to a major town or city,Urban,95
E00000385,UN1,Urban: Nearer to a major town or city,Urban,96
E00000386,UN1,Urban: Nearer to a major town or city,Urban,97
E00000387,UN1,Urban: Nearer to a major town or city,Urban,98
E00000388,UN1,Urban: Nearer to a major town or city,Urban,99
E00000389,UN1,Urban: Nearer to a major town or city,Urban,100
E00000176,UN1,Urban: Nearer to a major town or city,Urban,101
E00000177,UN1,Urban: Nearer to a major town or city,Urban,102
E00000178,UN1,Urban: Nearer to a major town or city,Urban,103
E00000179,UN1,Urban: Nearer to a major town or city,Urban,104
E00000180,UN1,Urban: Nearer to a major town or city,Urban,105
E00000181,UN1,Urban: Nearer to a major town or city,Urban,106
E00000182,UN1,Urban: Nearer to a major town or city,Urban,107
E00000183,UN1,Urban: Nearer to a major town or city,Urban,108
E00000184,UN1,Urban: Nearer to a major town or city,Urban,109
E00000185,UN1,Urban: Nearer to a major town or city,Urban,110
E00000186,UN1,Urban: Nearer to a major town or city,Urban,111
E00000187,UN1,Urban: Nearer to a major town or city,Urban,112
E00000188,UN1,Urban: Nearer to a major town or city,Urban,113
E00000189,UN1,Urban: Nearer to a major town or city,Urban,114
E00000190,UN1,Urban: Nearer to a major town or city,Urban,115
E00000191,UN1,Urban: Nearer to a major town or city,Urban,116
E00000192,UN1,Urban: Nearer to a major town or city,Urban,117
E00000193,UN1,Urban: Nearer to a major town or city,Urban,118
E00000194,UN1,Urban: Nearer to a major town or city,Urban,119
E00000195,UN1,Urban: Nearer to a major town or city,Urban,120
E00000196,UN1,Urban: Nearer to a major town or city,Urban,121
E00000197,UN1,Urban: Nearer to a major town or city,Urban,122
E00000198,UN1,Urban: Nearer to a major town or city,Urban,123
E00000199,UN1,Urban: Nearer to a major town or city,Urban,124
E00000200,UN1,Urban: Nearer to a major town or city,Urban,125
E00000201,UN1,Urban: Nearer to a major town or city,Urban,126
E00000202,UN1,Urban: Nearer to a major town or city,Urban,127
E00000203,UN1,Urban: Nearer to a major town or city,Urban,128
E00000204,UN1,Urban: Nearer to a major town or city,Urban,129
E00000205,UN1,Urban: Nearer to a major town or city,Urban,130
E00000206,UN1,Urban: Nearer to a major town or city,Urban,131
E00000207,UN1,Urban: Nearer to a major town or city,Urban,132
E00000208,UN1,Urban: Nearer to a major town or city,Urban,133
E00000209,UN1,Urban: Nearer to a major town or city,Urban,134
E00000210,UN1,Urban: Nearer to a major town or city,Urban,135
E00000211,UN1,Urban: Nearer to a major town or city,Urban,136
E00000212,UN1,Urban: Nearer to a major town or city,Urban,137
E00000213,UN1,Urban: Nearer to a major town or city,Urban,138
E00000214,UN1,Urban: Nearer to a major town or city,Urban,139
E00000215,UN1,Urban: Nearer to a major town or city,Urban,140
E00000216,UN1,Urban: Nearer to a major town or city,Urban,141
E00000217,UN1,Urban: Nearer to a major town or city,Urban,142
