premise_type,premise_age_bucketed,mean,std,count,label,scaling
2 storeys terraces with t rear extension,Pre 1919,135.71667049613768,69.05898165691214,216328,2 storeys terraces with t rear extension - Pre 1919,0.7368291576446083
2 storeys terraces with t rear extension,1919-1944,133.37169341926534,46.11989911475072,3680,2 storeys terraces with t rear extension - 1919-1944,0.7497842865775232
Large detached,Pre 1919,223.1652675928999,187.77026457213336,30916,Large detached - Pre 1919,0.44809840293974823
Large detached,1919-1944,216.80850856055847,141.50560058201987,8047,Large detached - 1919-1944,0.4612365107989672
Large detached,1945-1959,229.86642024913502,135.2589373289118,11804,Large detached - 1945-1959,0.4350352691429113
Large detached,1960-1979,235.52738622321127,113.42637715604914,17743,Large detached - 1960-1979,0.4245790759348434
Large detached,1980-1989,230.6988492214126,110.68176251523535,9178,Large detached - 1980-1989,0.4334655345594085
Large detached,1990-1999,228.67922994863176,192.8564186496553,12801,Large detached - 1990-1999,0.4372937586962446
Large detached,Post 1999,267.8087225963939,220.38841120319304,23796,Large detached - Post 1999,0.3734008326185359
Large semi detached,Pre 1919,158.7875446944379,150.22492828212444,14617,Large semi detached - Pre 1919,0.6297723174222168
Large semi detached,1919-1944,155.58842087648983,85.79096180281111,3044,Large semi detached - 1919-1944,0.6427213505777697
Large semi detached,1945-1959,162.54405781271367,97.08723640661798,2079,Large semi detached - 1945-1959,0.6152178144538626
Large semi detached,Post 1999,315.07328999609905,1564.8881967103132,2089,Large semi detached - Post 1999,0.31738647221171334
Linked and step linked premises,1945-1959,135.86590564642276,83.54908523070796,6935,Linked and step linked premises - 1945-1959,0.7360198242835098
Linked and step linked premises,1960-1979,137.79002806760687,68.49300508992553,49391,Linked and step linked premises - 1960-1979,0.7257419234353799
Linked and step linked premises,1980-1989,157.55245838109428,110.14713284955967,10300,Linked and step linked premises - 1980-1989,0.6347092328963598
Linked and step linked premises,1990-1999,149.64430143632055,79.36280362698098,12060,Linked and step linked premises - 1990-1999,0.6682513068668631
Linked and step linked premises,Post 1999,169.30048884520758,205.54666785236725,12274,Linked and step linked premises - Post 1999,0.5906657487057263
Planned balanced mixed estates,1945-1959,150.6887758352537,87.1349982849315,7983,Planned balanced mixed estates - 1945-1959,0.6636194331376668
Planned balanced mixed estates,1960-1979,159.4991485819649,97.90774414691528,12043,Planned balanced mixed estates - 1960-1979,0.6269625944028854
Planned balanced mixed estates,1980-1989,167.95363909146587,130.62635762176512,5319,Planned balanced mixed estates - 1980-1989,0.5954024011682235
Planned balanced mixed estates,1990-1999,157.74622058551282,85.87337815309448,7982,Planned balanced mixed estates - 1990-1999,0.6339296093993637
Planned balanced mixed estates,Post 1999,189.37399916654672,186.25988933832167,6654,Planned balanced mixed estates - Post 1999,0.5280555960169276
Semi type house in multiples,Pre 1919,145.5426725238197,108.11298842945291,26291,Semi type house in multiples - Pre 1919,0.6870837141157613
Semi type house in multiples,1919-1944,134.32068168409108,38.18604082934636,150250,Semi type house in multiples - 1919-1944,0.7444869899870675
Semi type house in multiples,1945-1959,136.9702741680917,43.4054457440335,81997,Semi type house in multiples - 1945-1959,0.7300854189521349
Semi type house in multiples,1960-1979,135.88028802925717,62.06393954096966,35616,Semi type house in multiples - 1960-1979,0.7359419195407388
Semi type house in multiples,1980-1989,153.55342627903065,105.12695420075997,6127,Semi type house in multiples - 1980-1989,0.6512391317031528
